timestamp,cpu_percent,memory_percent,disk_usage,network_activity
2025-01-27T20:59:47.179015,0.0,85.5,90.7,372358637
2025-01-27T20:59:48.210173,4.8,85.5,90.7,372362491
2025-01-27T20:59:49.236874,5.5,85.5,90.7,372373325
2025-01-27T20:59:50.264839,9.9,85.2,90.7,372390031
2025-01-27T20:59:51.294490,5.2,85.0,90.7,372395074
2025-01-27T20:59:52.326823,6.2,85.0,90.7,372399215
2025-01-27T20:59:53.355822,5.7,85.0,90.7,372400682
2025-01-27T20:59:54.382670,9.2,85.0,90.7,372400843
2025-01-27T20:59:55.412108,10.5,85.1,90.7,372402076
2025-01-27T21:00:14.263568,0.0,88.7,90.7,372601159
2025-01-27T21:00:15.303299,14.4,88.9,90.7,372606627
2025-01-27T21:00:16.342181,14.0,88.9,90.7,372638873
2025-01-27T21:00:17.371152,12.7,88.9,90.7,372656495
2025-01-27T21:00:18.397586,6.8,88.9,90.7,372658007
2025-01-27T21:00:19.425095,14.6,88.9,90.7,372658908
2025-01-27T21:00:20.464054,14.1,88.9,90.7,372660806
2025-01-27T21:00:21.505324,12.3,89.1,90.7,372663358
2025-01-27T21:00:22.546127,23.6,88.7,90.7,372666723
2025-01-27T21:00:23.585196,15.0,88.8,90.7,372673105
2025-01-27T21:00:24.627034,24.8,86.1,90.7,372679021
2025-01-27T21:00:25.653465,25.1,86.0,90.7,372683404
2025-01-27T21:00:26.696315,19.7,86.0,90.7,372685560
2025-01-27T21:00:27.723248,7.6,86.0,90.7,372687610
2025-01-27T21:00:28.767121,17.2,86.0,90.7,372690319
2025-01-27T21:00:29.809975,22.6,86.0,90.7,372692906
2025-01-27T21:00:30.849936,12.4,86.0,90.7,372714303
2025-01-27T21:00:31.891971,29.4,86.1,90.7,372717780
2025-01-27T21:00:32.948845,30.5,85.9,90.7,372719080
2025-01-27T21:00:33.992188,15.4,86.0,90.7,372719753
2025-01-27T21:00:35.017437,14.7,86.0,90.7,372756888
2025-01-27T21:02:37.532193,0.0,89.6,90.7,382207241
2025-01-27T21:02:38.569237,9.7,89.5,90.7,382208395
2025-01-27T21:02:39.596952,14.9,89.4,90.7,382216447
2025-01-27T21:02:40.624323,13.8,89.2,90.7,382230646
2025-01-27T21:02:41.652337,7.3,89.2,90.7,382239776
2025-01-27T21:02:42.676925,7.2,89.3,90.7,382241884
2025-01-27T21:02:43.718073,13.7,89.4,90.7,382244081
2025-01-27T21:02:44.747940,14.4,89.4,90.7,382254631
2025-01-27T21:02:45.785007,10.3,89.5,90.7,382263699
2025-01-27T21:02:46.811889,15.7,89.4,90.7,382266894
2025-01-27T21:02:47.853206,20.7,89.4,90.7,382271780
2025-01-27T21:02:48.882006,22.8,89.7,90.7,382274243
2025-01-27T21:02:49.924149,27.4,89.6,90.7,382287563
2025-01-27T21:02:50.964963,35.1,89.9,90.7,382302944
2025-01-27T21:02:51.991921,7.9,89.9,90.7,382309021
2025-01-27T21:02:53.016332,9.7,89.9,90.7,382313515
2025-01-27T21:02:54.043178,10.2,90.0,90.7,382317669
2025-01-27T21:02:55.070213,10.7,89.9,90.7,382320155
2025-01-27T21:02:56.098979,10.5,90.0,90.7,382323718
2025-01-27T21:02:57.126171,11.5,89.9,90.7,382329509
2025-01-27T21:02:58.154312,20.7,89.9,90.7,382333199
2025-01-27T21:02:59.192044,8.9,89.8,90.7,382334533
2025-01-27T21:03:00.219309,26.5,90.0,90.7,382335959
2025-01-27T21:03:01.258376,12.1,90.0,90.7,382339333
2025-01-27T21:03:02.297851,11.9,89.9,90.7,382340685
2025-01-27T21:03:03.339099,12.2,89.8,90.7,382341459
2025-01-27T21:03:04.380873,13.2,89.8,90.7,382342318
2025-01-27T21:03:05.406268,25.4,89.9,90.7,382358141
2025-01-27T21:03:06.435950,17.5,89.9,90.7,382375935
2025-01-27T21:03:07.464221,12.6,89.8,90.7,382379787
2025-01-27T21:03:08.505020,9.7,89.8,90.7,382381472
2025-01-27T21:03:09.546219,17.5,89.9,90.7,382385104
2025-01-27T21:03:10.574045,13.2,89.9,90.7,382386300
2025-01-27T21:03:11.603837,14.5,89.9,90.7,382408520
2025-01-27T21:03:12.643010,30.0,90.4,90.7,382423420
2025-01-27T21:03:13.700634,27.0,90.6,90.7,382424740
2025-01-27T21:03:14.727840,11.5,90.6,90.7,382440690
2025-01-27T21:03:15.756036,8.2,90.6,90.7,382454326
2025-01-27T21:03:16.816090,9.8,90.6,90.7,382456687
2025-01-27T21:03:17.843222,25.4,90.7,90.7,382461676
2025-01-27T21:03:18.887791,30.0,91.1,90.7,382465196
2025-01-27T21:03:19.930545,31.3,91.5,90.7,382543970
2025-01-27T21:03:20.973924,47.1,91.4,90.7,382593803
2025-01-27T21:03:22.008136,42.3,91.5,90.7,382600948
2025-01-27T21:03:23.051454,44.6,91.6,90.7,382601258
2025-01-27T21:03:24.083131,47.6,91.7,90.7,382601616
2025-01-27T21:03:25.109073,48.4,91.7,90.7,382602359
2025-01-27T21:03:26.152029,48.8,91.7,90.7,382604286
2025-01-27T21:03:27.186667,49.2,91.8,90.7,382609050
2025-01-27T21:03:28.216243,42.9,91.7,90.7,382609665
2025-01-27T21:03:29.260534,47.4,91.8,90.7,382621983
2025-01-27T21:03:30.305186,50.4,91.6,90.7,382637672
2025-01-27T21:03:31.349494,42.3,91.5,90.7,382644667
2025-01-27T21:03:32.390437,47.0,91.5,90.7,382646409
2025-01-27T21:03:33.420405,42.4,91.5,90.7,382647322
2025-01-27T21:03:34.451972,51.6,91.5,90.7,382649368
2025-01-27T21:03:35.482972,56.8,91.4,90.7,382649749
2025-01-27T21:03:36.515776,48.6,91.4,90.7,382654375
2025-01-27T21:03:37.568945,45.0,91.4,90.7,382655620
2025-01-27T21:03:38.600271,42.6,91.4,90.7,382656454
2025-01-27T21:03:39.634043,39.6,91.4,90.7,382659019
2025-01-27T21:03:40.667214,49.1,91.4,90.7,382661071
2025-01-27T21:03:41.711806,47.3,91.5,90.7,382668555
2025-01-27T21:03:42.742126,49.2,91.2,90.7,382671479
