timestamp,cpu_percent,memory_percent,disk_usage,network_activity
2025-01-27T20:31:45.280071,0.0,86.5,90.6,318491483
2025-01-27T20:31:46.315227,16.9,86.5,90.7,318541108
2025-01-27T20:31:47.341076,33.2,86.5,90.7,318587140
2025-01-27T20:31:48.371110,21.7,86.4,90.7,318598391
2025-01-27T20:31:49.401154,14.8,86.2,90.7,318599752
2025-01-27T20:31:50.437174,19.8,86.2,90.7,318611171
2025-01-27T20:31:51.465929,10.2,86.1,90.7,318612649
2025-01-27T20:31:52.493148,14.5,86.5,90.7,318626797
2025-01-27T20:31:53.530223,41.2,86.9,90.7,318974496
2025-01-27T20:31:54.568051,15.1,87.4,90.7,319126011
2025-01-27T20:31:55.594989,14.2,87.4,90.7,319151232
2025-01-27T20:31:56.620936,8.0,87.4,90.7,319173691
2025-01-27T20:31:57.660050,10.8,87.5,90.7,319307046
2025-01-27T20:31:58.699837,29.2,87.4,90.7,319895501
2025-01-27T20:31:59.740083,7.2,87.5,90.7,320050615
2025-01-27T20:32:00.768077,11.3,87.4,90.7,320102556
2025-01-27T20:32:01.797000,29.3,87.7,90.7,321244353
2025-01-27T20:32:02.835844,20.6,87.8,90.7,322298062
2025-01-27T20:32:03.865161,20.6,87.6,90.7,322362525
2025-01-27T20:32:04.893057,13.0,87.6,90.7,322443738
2025-01-27T20:32:05.932437,18.9,87.8,90.7,322608198
2025-01-27T20:32:06.967148,23.8,88.0,90.7,323070334
2025-01-27T20:32:08.009124,10.2,88.0,90.7,323781891
2025-01-27T20:32:09.048994,8.8,88.0,90.7,324563075
2025-01-27T20:32:10.090960,37.9,88.3,90.7,324888493
2025-01-27T20:32:11.133250,12.6,88.5,90.7,324978847
2025-01-27T20:32:12.173959,3.4,88.5,90.7,324986588
2025-01-27T20:32:13.204276,13.5,88.3,90.7,325006155
2025-01-27T20:32:14.245788,7.3,88.2,90.7,325010252
2025-01-27T20:32:15.288023,4.1,88.1,90.7,325011236
2025-01-27T20:32:16.315345,2.7,88.1,90.7,325012864
2025-01-27T20:32:17.348090,18.1,87.9,90.7,325016343
2025-01-27T20:32:18.388168,8.6,87.9,90.7,325024626
2025-01-27T20:32:19.418963,14.5,87.9,90.7,325027569
2025-01-27T20:32:20.450035,13.7,87.9,90.7,325029320
2025-01-27T20:32:21.475214,3.7,87.9,90.7,325034013
2025-01-27T20:32:22.516005,12.7,87.8,90.7,325073575
2025-01-27T20:32:23.542248,8.2,87.8,90.7,325108301
2025-01-27T20:32:24.570119,4.8,87.8,90.7,325115073
